message,dtTime,userID,user,type,episode
两块五干杯,16.145,ca5cc315,ca5cc315,2,1
妙啊～(￣▽￣～)~,16.161,f38a740a,f38a740a,2,1
2.5的微笑,16.288,a9ecac24,a9ecac24,2,1
年费送B币的微笑+10086,16.493,fcd64743,fcd64743,2,1
三刷,16.522,f037cc77,f037cc77,1,1
2.5的微笑,16.554,a10d6d8d,a10d6d8d,2,1
卡,16.598,6dfebcf7,6dfebcf7,1,1
有没有恐怖片介绍,16.653,b3584e6e,b3584e6e,2,1
都是会员嚣张一点,16.718,365fb26e,365fb26e,2,1
这是一条五块钱的弹幕。,16.728,8d0f7530,8d0f7530,2,1
嚣张| ू•ૅω•́)ᵎᵎᵎ,16.742,e3391464,e3391464,2,1
富豪的微笑,16.82,c4cf1f45,c4cf1f45,2,1
有钱了不起啊？有钱就能为所欲为吗？,16.879,b1069e49,b1069e49,2,1
来啦,16.981,d9d25a19,d9d25a19,2,1
免费的微笑,16.999,73f3952a,73f3952a,2,1
年费的微笑,17.079,6f24ead0,6f24ead0,2,1
2.5的微笑,17.101,bc78caa1,bc78caa1,2,1
钱都花了 必须发个弹幕,17.336,a553c5bb,a553c5bb,2,1
年费的微笑,17.43,db4dfd99,db4dfd99,2,1
按爪爪！,17.521,2c644c45,2c644c45,2,1
2.5B币哎！,17.558,c9aa9b9e,c9aa9b9e,2,1
2.5的弹幕,17.647,57f3c644,57f3c644,2,1
到此一游,17.741,2b6c2b4c,2b6c2b4c,2,1
不嚣张就浪费了,17.841,3.33233E+07,3.33233E+07,2,1
2.5,17.92,b8e15f4,b8e15f4,2,1
五元的微笑,17.962,646621bc,646621bc,2,1
5块疯狂留言,18.066,5c225cda,5c225cda,2,1
资本主义的气息,18.166,c09085c1,c09085c1,2,1
2.5,18.21,286482,286482,2,1
2.5的弹幕,18.261,ea212398,ea212398,2,1
呵呵,18.278,79d8e78c,79d8e78c,2,1
年费的微信,18.347,39e1a11f,39e1a11f,2,1
大家都是富贵人,18.4,61f1ab65,61f1ab65,2,1
2.5,18.539,c1ca518c,c1ca518c,2,1
来自年费的微笑,18.575,855a96ac,855a96ac,2,1
合影,18.878,7196b4bd,7196b4bd,2,1
2.5,18.975,64c54074,64c54074,2,1
2块5的弹幕,18.98,8a39960f,8a39960f,2,1
这点钱比去电影院便宜多少……,19.058,e9f4e7ed,e9f4e7ed,2,1
微笑,19.195,82437821,82437821,2,1
2.5使我们相遇,19.197,16f97a66,16f97a66,2,1
五块钱的惨叫,19.2,5fc3ff22,5fc3ff22,2,1
嚣张，就很嚣张,19.238,11e97038,11e97038,2,1
2.5元得微笑,19.475,639c0d0d,639c0d0d,2,1
大家都是25吗,19.538,bba71c27,bba71c27,2,1
都是会员嚣张一点,19.638,cc02fec7,cc02fec7,2,1
5块,19.66,3c616bf,3c616bf,2,1
2.5啊，不留点什么说不过去,19.75,dded70c7,dded70c7,2,1
2块5的微笑,19.761,f9280fcd,f9280fcd,2,1
财富的骄傲,19.853,ee8277dd,ee8277dd,2,1
花钱,19.878,5f8b0df6,5f8b0df6,2,1
来了老弟,19.882,ebf9cebd,ebf9cebd,2,1
各位钞能力者好,19.958,5415e5ea,5415e5ea,2,1
哼,19.958,7e79aae0,7e79aae0,2,1
2.5的微笑,19.988,24504fed,24504fed,2,1
花钱花钱hhhh,19.998,378b9a18,378b9a18,2,1
2.5,20.118,a868b009,a868b009,2,1
来了来了,20.189,3376f6cf,3376f6cf,2,1
有钱人的低调,20.217,7cfcb7c2,7cfcb7c2,2,1
年度大会员嚣张一点,20.247,7f325bf7,7f325bf7,2,1
2.5 B币的微笑,20.396,bd010d2d,bd010d2d,2,1
2.5的微笑,20.417,aa0ea8b4,aa0ea8b4,2,1
纪念,20.508,f0fe54f3,f0fe54f3,2,1
年费的微笑,20.796,7f9bf357,7f9bf357,2,1
250分的弹幕出没~,20.948,c8dd6f13,c8dd6f13,2,1
合影,21.021,d2553565,d2553565,2,1
555555,21.055,46ad37ce,46ad37ce,2,1
富人的微笑,21.14,3b43c630,3b43c630,2,1
².5,21.22,ac9987bc,ac9987bc,2,1
有个有钱室友的微笑,21.475,39a30a2d,39a30a2d,2,1
2.5的微笑,21.493,f675f271,f675f271,2,1
年费的微笑,21.554,beef90af,beef90af,2,1
来了老弟,21.578,9529abca,9529abca,2,1
纪念！！！！,21.641,ce7f0ee,ce7f0ee,2,1
留念！,21.775,32b5bcb6,32b5bcb6,2,1
土豪的微笑,21.961,560936d7,560936d7,2,1
安娜,22.033,b3584e6e,b3584e6e,1,1
会员自己有的b币  所以免费了,22.158,81f0733d,81f0733d,2,1
纪念2.5,22.376,1b94eb53,1b94eb53,2,1
只是一条五块钱的弹幕,22.381,53014515,53014515,2,1
2.5骚一下,22.438,6bcbff6d,6bcbff6d,2,1
五块钱……,22.528,e4b9260e,e4b9260e,2,1
富有让我们相遇,22.576,4306b7b9,4306b7b9,2,1
2.5,22.766,5913b2,5913b2,2,1
2.5,22.797,ff9578af,ff9578af,2,1
在坐的各位都是钞能力者呀,22.954,8f4b24af,8f4b24af,2,1
每个月不是有返还了哪里要钱。。。,22.956,b914006b,b914006b,2,1
花钱留名,23.015,4e4e42d,4e4e42d,2,1
富贵让我们相遇,23.04,40f46057,40f46057,2,1
富贵使我们相遇,23.059,1b37ee78,1b37ee78,2,1
2.5,23.158,f6a309bd,f6a309bd,2,1
2.5的微笑,23.193,c3189956,c3189956,2,1
不好意思 我露出了五块的微笑,23.258,d112433e,d112433e,2,1
.,23.258,84451935,84451935,2,1
我花钱了！,23.296,cad8316f,cad8316f,2,1
2.5的弹幕,23.328,f91915ce,f91915ce,2,1
。。。,23.358,8ba730ba,8ba730ba,2,1
来了,23.358,3f660015,3f660015,2,1
微笑你大爷,23.727,6861b203,6861b203,2,1
这是一条2.5元的弹幕,23.738,97e6a76d,97e6a76d,2,1
留念,23.754,a49ad16e,a49ad16e,2,1
25,23.85,a92c0e36,a92c0e36,2,1
第二遍，欧里给,23.965,66f7bdbc,66f7bdbc,1,1
破产的微笑,23.998,fedaaf58,fedaaf58,2,1
合影,24.218,24808bf1,24808bf1,2,1
2.5,24.226,8ffdc62f,8ffdc62f,2,1
为啥我的弹幕值5块？？,24.251,2.5127E+62,2.5127E+62,2,1
是吗,24.318,553d978b,553d978b,2,1
嘿嘿嘿,24.319,d49dc2d1,d49dc2d1,2,1
土豪色,24.326,36e1eeb,36e1eeb,2,1
富贵的微笑,24.464,ba04786f,ba04786f,2,1
五元的故事,24.49,52b90d39,52b90d39,2,1
2.5,24.509,ce31993e,ce31993e,2,1
嚣张,24.514,b517f475,b517f475,2,1
留影,24.6,8518ed47,8518ed47,2,1
哈哈哈哈，资本家的微笑,24.701,d6aba0da,d6aba0da,2,1
2.5啊,24.858,e51da0c7,e51da0c7,2,1
2.5,24.886,8214749e,8214749e,2,1
5元的弹幕，我必须发,25.001,2c374b32,2c374b32,2,1
你爹的五块钱，纪念。,25.015,6991d806,6991d806,2,1
合影留念,25.09,fdc2f9d7,fdc2f9d7,2,1
弹幕要钱,25.239,2162efe6,2162efe6,2,1
23333,25.324,9e726a0,9e726a0,2,1
2.5,25.334,e59f2db3,e59f2db3,2,1
2.5,25.382,d5bb4174,d5bb4174,2,1
半价,25.398,44f95af,44f95af,2,1
花了币还是要留下痕迹的,25.483,dbd116fe,dbd116fe,2,1
年费大会员的嚣张,25.506,bcaa415c,bcaa415c,2,1
2.5,25.579,ab9b0720,ab9b0720,2,1
难受,25.641,14ad8fd5,14ad8fd5,2,1
两块五的微笑,25.674,646cacb7,646cacb7,2,1
2.5B,25.755,8d8c68b1,8d8c68b1,2,1
两块五的微笑,25.802,6ee4a20c,6ee4a20c,2,1
假的21:9？,25.809,34c5e555,34c5e555,2,1
富有的微笑,25.856,c7571b31,c7571b31,2,1
2.5啊,25.881,9a33bba4,9a33bba4,2,1
2.5的过来看看,26.321,a773d828,a773d828,2,1
5元巨款留念,26.346,1dc83435,1dc83435,2,1
耳机坏了嘛？,26.474,abc1cd28,abc1cd28,2,1
哈哈哈,26.538,b610a64f,b610a64f,2,1
有钱真是嗨,26.557,92baf351,92baf351,2,1
2.5的嚣张,26.58,91ba7a4e,91ba7a4e,2,1
我想你了,26.786,b3584e6e,b3584e6e,2,1
2.5,26.838,90a9b587,90a9b587,2,1
留个痕迹,27.077,a09b34d3,a09b34d3,2,1
来看看,27.079,73fe4bb8,73fe4bb8,2,1
为了2.5！！！！,27.181,d41004eb,d41004eb,2,1
a k ja ja ja,27.477,34795c03,34795c03,2,1
。。。。,27.543,e300484f,e300484f,2,1
2.5,27.558,6ec2824e,6ec2824e,2,1
bilibili无限矿业公司,27.774,1383501b,1383501b,2,1
献祭2.5（财富的微笑）,27.798,4dfa025b,4dfa025b,2,1
2.5,28.16,d9d25a19,d9d25a19,2,1
哈哈哈,28.225,8d7d68d0,8d7d68d0,2,1
2.5我嘤嘤嘤,28.278,d95fcaeb,d95fcaeb,2,1
富贵使我们相遇,28.393,ae3eee5f,ae3eee5f,2,1
万恶的资本主义,28.468,861c0ff0,861c0ff0,2,1
这波不亏,28.539,41dda13c,41dda13c,2,1
2.5,28.713,3510eeeb,3510eeeb,2,1
2,28.759,fd8e8f5e,fd8e8f5e,2,1
两块五的弹幕,28.833,823f03e3,823f03e3,2,1
留下5元的痕迹,28.838,2020e5e3,2020e5e3,2,1
纪念两块五,29.075,159f0e69,159f0e69,2,1
来都来了,29.098,350b290b,350b290b,2,1
啊！我买了两遍！,29.269,8a186b61,8a186b61,2,1
2.5,29.356,758d6333,758d6333,2,1
2.5的弹幕,29.413,d65ea091,d65ea091,2,1
2.5的微笑,29.46,f3abb13c,f3abb13c,2,1
。。。。、,29.519,e529aad4,e529aad4,2,1
花了2.5，不发个弹幕感觉很亏,29.595,33165116,33165116,2,1
啦啦啦,29.696,d3c89946,d3c89946,2,1
我来发个友善的富有的微笑,29.835,ba3464e3,ba3464e3,2,1
5,29.838,ddd2bd66,ddd2bd66,2,1
嚣张得很,29.952,98e8bec2,98e8bec2,2,1
hhhhhhhxs,29.977,1aa885b9,1aa885b9,2,1
巨嚣张,30.041,9b707c7d,9b707c7d,2,1
留下年费的痕迹,30.067,40ca92d5,40ca92d5,2,1
2.5真好,30.14,41f73e28,41f73e28,2,1
富贵使我们相遇,30.218,d833eee7,d833eee7,2,1
留念！！！！！！！！！！！！！！！,30.44,c2bb75e9,c2bb75e9,2,1
2.5的,30.44,63cad0b9,63cad0b9,2,1
2.5的微笑,30.503,1cb6b2e,1cb6b2e,2,1
 五块哈哈哈,30.687,91232667,91232667,2,1
挤一挤,30.817,10cadc09,10cadc09,2,1
2.5元的富贵，<(￣3￣)>哼！,30.907,ca6f7ad2,ca6f7ad2,2,1
年费的微笑,31.019,3e5e35c7,3e5e35c7,2,1
留下足迹,31.041,4996cdfd,4996cdfd,2,1
惊了,31.095,3aca299e,3aca299e,2,1
合影留念,31.161,d56ec522,d56ec522,2,1
2.5,31.177,84451935,84451935,2,1
666666666666,31.226,987da32c,987da32c,2,1
2.5花了没看,31.329,ca0279f5,ca0279f5,2,1
尼禄我爱你！,31.358,2345885b,2345885b,2,1
二块五的微笑,31.481,f2029ea,f2029ea,2,1
2.5一个弹幕++++++++++++,31.531,3d68b1db,3d68b1db,2,1
富贵使我们相遇,31.591,17f20b29,17f20b29,2,1
留下两块半的痕迹,31.758,c74b320f,c74b320f,2,1
哈哈哈,31.838,6c6ee00f,6c6ee00f,2,1
嚣张,31.884,3ca0f287,3ca0f287,2,1
2.5B的弹幕,31.903,60ea0906,60ea0906,2,1
年度大会员的微笑,31.908,1c5f12e1,1c5f12e1,2,1
2.5,31.922,aff23b7d,aff23b7d,2,1
富有,32.121,3e4fc8e,3e4fc8e,2,1
嘤嘤嘤,32.189,bb16a978,bb16a978,2,1
大家都是会员，嚣张点,32.213,e4cc4d89,e4cc4d89,2,1
2.5,32.259,3474bb58,3474bb58,2,1
我的2块5啊,32.357,fb1185bb,fb1185bb,2,1
2.5路过,32.442,dc71b232,dc71b232,2,1
年费。。。,32.518,c1c64713,c1c64713,2,1
不能不留影,32.521,4841218a,4841218a,2,1
发个弹幕,32.641,bab7ea56,bab7ea56,2,1
巴拉在这，索看到了吗？！,32.665,c839853,c839853,2,1
富贵使我们相遇,32.688,9504b8ad,9504b8ad,2,1
