message,dtTime,userID,user,type,episode
富贵使我们相遇,28.393,ae3eee5f,ae3eee5f,2,2
万恶的资本主义,28.468,861c0ff0,861c0ff0,2,2
这波不亏,28.539,41dda13c,41dda13c,2,2
2.5,28.713,3510eeeb,3510eeeb,2,2
2,28.759,fd8e8f5e,fd8e8f5e,2,2
两块五的弹幕,28.833,823f03e3,823f03e3,2,2
留下5元的痕迹,28.838,2020e5e3,2020e5e3,2,2
纪念两块五,29.075,159f0e69,159f0e69,2,2
来都来了,29.098,350b290b,350b290b,2,2
啊！我买了两遍！,29.269,8a186b61,8a186b61,2,2
2.5,29.356,758d6333,758d6333,2,2
2.5的弹幕,29.413,d65ea091,d65ea091,2,2
2.5的微笑,29.46,f3abb13c,f3abb13c,2,2
。。。。、,29.519,e529aad4,e529aad4,2,2
花了2.5，不发个弹幕感觉很亏,29.595,33165116,33165116,2,2
啦啦啦,29.696,d3c89946,d3c89946,2,2
我来发个友善的富有的微笑,29.835,ba3464e3,ba3464e3,2,2
5,29.838,ddd2bd66,ddd2bd66,2,2
嚣张得很,29.952,98e8bec2,98e8bec2,2,2
hhhhhhhxs,29.977,1aa885b9,1aa885b9,2,2
巨嚣张,30.041,9b707c7d,9b707c7d,2,2
留下年费的痕迹,30.067,40ca92d5,40ca92d5,2,2
2.5真好,30.14,41f73e28,41f73e28,2,2
富贵使我们相遇,30.218,d833eee7,d833eee7,2,2
留念！！！！！！！！！！！！！！！,30.44,c2bb75e9,c2bb75e9,2,2
2.5的,30.44,63cad0b9,63cad0b9,2,2
2.5的微笑,30.503,1cb6b2e,1cb6b2e,2,2
 五块哈哈哈,30.687,91232667,91232667,2,2
挤一挤,30.817,10cadc09,10cadc09,2,2
2.5元的富贵，<(￣3￣)>哼！,30.907,ca6f7ad2,ca6f7ad2,2,2
年费的微笑,31.019,3e5e35c7,3e5e35c7,2,2
留下足迹,31.041,4996cdfd,4996cdfd,2,2
惊了,31.095,3aca299e,3aca299e,2,2
合影留念,31.161,d56ec522,d56ec522,2,2
2.5,31.177,84451935,84451935,2,2
666666666666,31.226,987da32c,987da32c,2,2
2.5花了没看,31.329,ca0279f5,ca0279f5,2,2
尼禄我爱你！,31.358,2345885b,2345885b,2,2
二块五的微笑,31.481,f2029ea,f2029ea,2,2
2.5一个弹幕++++++++++++,31.531,3d68b1db,3d68b1db,2,2
富贵使我们相遇,31.591,17f20b29,17f20b29,2,2
留下两块半的痕迹,31.758,c74b320f,c74b320f,2,2
哈哈哈,31.838,6c6ee00f,6c6ee00f,2,2
嚣张,31.884,3ca0f287,3ca0f287,2,2
2.5B的弹幕,31.903,60ea0906,60ea0906,2,2
年度大会员的微笑,31.908,1c5f12e1,1c5f12e1,2,2
2.5,31.922,aff23b7d,aff23b7d,2,2
富有,32.121,3e4fc8e,3e4fc8e,2,2
嘤嘤嘤,32.189,bb16a978,bb16a978,2,2
大家都是会员，嚣张点,32.213,e4cc4d89,e4cc4d89,2,2
2.5,32.259,3474bb58,3474bb58,2,2
我的2块5啊,32.357,fb1185bb,fb1185bb,2,2
2.5路过,32.442,dc71b232,dc71b232,2,2
年费。。。,32.518,c1c64713,c1c64713,2,2
不能不留影,32.521,4841218a,4841218a,2,2
发个弹幕,32.641,bab7ea56,bab7ea56,2,2
巴拉在这，索看到了吗？！,32.665,c839853,c839853,2,2
富贵使我们相遇,32.688,9504b8ad,9504b8ad,2,2
留弹幕纪念,32.689,78adcb23,78adcb23,2,2
年费的微笑,32.756,fb18b55e,fb18b55e,2,2
5块的微笑,32.806,f2c91c9,f2c91c9,2,2
电影看过很多遍了，花5块钱只是为了看大家的弹幕！,32.818,56c7da57,56c7da57,2,2
五块钱的弹幕,33.052,b3eb1aa,b3eb1aa,2,2
嚣张一下,33.155,b5ad0114,b5ad0114,2,2
纪念2.5,33.172,c0983f02,c0983f02,2,2
都是大会员，大家嚣张点！,33.26,fefe7e88,fefe7e88,2,2
不发个2块5对不起自己,33.278,b6213cd6,b6213cd6,2,2
明天看沙赞的报道,33.278,f340e6e6,f340e6e6,2,2
留下2.5的痕迹,33.28,3382df27,3382df27,2,2
